Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region
1,"
cristiano",92,485.2m,8.7m,3.4k,0.013,6.3m,29.1b,Spain
2,kyliejenner,91,370.7m,8.2m,7.0k,0.014,5.0m,57.4b,United States
3,"
leomessi",90,363.9m,6.7m,915,0.01,3.5m,6.1b,
4,"
selenagomez",93,348.8m,6.1m,1.9k,0.005,1.7m,11.4b,United States
5,"
therock",91,339.4m,1.8m,6.8k,0.003,932.0k,12.6b,United States
6,"
arianagrande",92,333.0m,3.7m,5.0k,0.009,3.1m,18.5b,United States
7,"
kimkardashian",91,330.7m,3.5m,5.7k,0.005,1.7m,19.8b,United States
8,"
beyonce",92,276.1m,3.6m,2.0k,0.008,2.2m,7.3b,United States
9,"
khloekardashian",89,273.9m,2.4m,4.1k,0.002,404.7k,9.8b,United States
10,"
justinbieber",91,260.0m,1.9m,7.4k,0.007,1.7m,14.0b,Canada
11,"
kendalljenner",90,258.9m,5.5m,671,0.012,3.0m,3.7b,United States
12,"
natgeo",91,241.1m,298.9k,10.0k,0.001,168.7k,3.0b,United States
13,"
nike",90,239.2m,316.0k,973,0.001,193.6k,307.5m,United States
14,"
taylorswift",91,226.1m,2.4m,542,0.015,3.3m,1.3b,United States
15,"
jlo",89,223.1m,1.7m,3.2k,0.005,1.2m,5.3b,United States
16,"
virat.kohli",87,215.9m,3.5m,1.4k,0.013,2.7m,5.0b,
17,"
nickiminaj",90,202.7m,2.0m,6.4k,0.004,837.1k,12.9b,United States
18,"
kourtneykardash",89,199.4m,1.8m,4.4k,0.007,1.3m,7.8b,United States
19,"
mileycyrus",89,183.6m,1.3m,1.2k,0.004,702.4k,1.6b,
20,"
neymarjr",90,179.4m,2.7m,5.3k,0.012,2.2m,14.4b,Brazil
21,"
katyperry",92,173.3m,714.8k,2.1k,0.002,302.9k,1.5b,
22,"
kevinhartreal",88,154.2m,498.0k,8.3k,0.001,137.6k,4.1b,United States
23,"
zendaya",87,153.3m,5.9m,3.5k,0.049,7.5m,20.8b,United States
24,"
iamcardib",75,141.3m,3.1m,1.6k,0.015,2.0m,5.0b,United States
25,"
ddlovato",88,140.6m,1.1m,105,0.002,305.1k,113.3m,United States
26,"
badgalriri",88,136.3m,3.7m,4.8k,0.051,6.9m,18.0b,United States
27,"
kingjames",86,133.7m,2.1m,2.4k,0.008,1.0m,4.9b,
28,"
realmadrid",90,125.8m,989.6k,7.1k,0.005,682.0k,7.1b,Spain
29,"
theellenshow",87,125.5m,412.7k,10.0k,0.001,59.2k,4.1b,United States
30,"
champagnepapi",85,121.4m,1.7m,5.2k,0.012,1.4m,9.0b,Netherlands
31,"
chrisbrownofficial",86,121.2m,450.0k,7.4k,0.002,237.9k,3.4b,United States
32,"
fcbarcelona",90,112.5m,1.1m,10.0k,0.007,807.2k,11.5b,
33,"
billieeilish",73,106.4m,8.4m,710,0.047,4.9m,6.0b,
34,"
gal_gadot",85,88.0m,1.4m,1.7k,0.008,735.9k,2.3b,United States
35,"
dualipa",74,87.3m,2.1m,1.3k,0.017,1.5m,2.7b,United Kingdom
36,"
vindiesel",88,83.2m,1.4m,1.8k,0.006,505.8k,2.5b,United States
37,"
nasa",88,83.1m,1.2m,3.6k,0.014,1.1m,4.3b,United States
38,"
priyankachopra",85,82.7m,1.6m,3.6k,0.008,644.6k,5.6b,United States
39,"
lalalalisa_m",70,82.6m,6.0m,893,0.088,7.2m,5.3b,
